Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
r_back_down_leg_bar,"0,017515056018958","0,00990241958635139","-0,131638395071185",0,0,0,"0,106045030353999","0,000145683712603249","4,43475391208694E-07","1,86710859461767E-05","0,000134791655009794","-2,5478509466652E-06","2,76955943465263E-05",0,0,0,0,0,0,package://alice_description/meshes/r_back_down_leg_bar.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://alice_description/meshes/r_back_down_leg_bar.STL,,back_Leg-3,Origin_r_leg_middle_r_back_down_leg_bar_joint,Axis_r_leg_middle_r_back_down_leg_bar_joint,r_leg_middle_r_back_down_leg_bar_joint,continuous,"-0,0204722568007997","0,00837257577687227","0,35214057755236","-0,00113817285277581","0,303429880367925","-0,00744436721793647",r_leg_middle,0,"0,999717465199624","-0,0237695135591407",,,,,,,,,,,,
r_leg_bottom,"0,0961698692234509","0,0157063139581545","0,0703968831947432",0,0,0,"0,138773510090684","3,21824560999412E-05","-5,01670808235508E-08","-2,10996775180763E-06","0,000155451875356261","2,6253505435944E-07","0,000166475604224739",0,0,0,0,0,0,package://alice_description/meshes/r_leg_bottom.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://alice_description/meshes/r_leg_bottom.STL,,ankle-3,Origin_r_back_down_leg_bar_r_leg_bottom_joint,Axis_r_back_down_leg_bar_r_leg_bottom_joint,r_back_down_leg_bar_r_leg_bottom_joint,fixed,"0,0483874662014178","-0,0094160324152698","-0,35395642563354","-0,00113817285278934","-0,303429880366233","0,00744436721790042",r_back_down_leg_bar,0,0,0,,,,,,,,,,,,
r_leg_foot,"0,089344977181458","-0,000595282028008681","-0,0242990229472759",0,0,0,"0,530146787604148","0,000353885949913679","2,08916383526819E-07","6,14942165452427E-06","0,00033007720052952","-4,08137373513823E-07","0,000582436522031569",0,0,0,0,0,0,package://alice_description/meshes/r_leg_foot.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://alice_description/meshes/r_leg_foot.STL,,foot-1,Origin_r_leg_bottom_r_leg_foot_joint,Axis_r_leg_bottom_r_leg_foot_joint,r_leg_bottom_r_leg_foot_joint,continuous,0,"0,014983093522028","0,0400000000000266","-0,0461738455411158",0,0,r_leg_bottom,1,0,0,,,,,,,,,,,,
r_l_front_down_leg_bar,"0,0122359795254167","0,0125197816917794","-0,0956584475859329",0,0,0,"0,11945134239954","0,000157366743902207","-6,61700621015322E-07","2,19794419948882E-05","0,000152303317500219","6,01713534873634E-07","3,36814209277913E-05",0,0,0,0,0,0,package://alice_description/meshes/r_l_front_down_leg_bar.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://alice_description/meshes/r_l_front_down_leg_bar.STL,,front_Leg2-3,Origin_r_leg_middle_r_l_front_down_leg_bar_joint,Axis_r_leg_middle_r_l_front_down_leg_bar_joint,r_leg_middle_r_l_front_down_leg_bar_joint,continuous,"0,109527743199297","0,0502873380660492","0,351144002474474","-0,0011381728527625","0,303429880366247","-0,00744436721789048",r_leg_middle,0,"0,999717465199624","-0,0237695135591396",,,,,,,,,,,,
r_l_bottom_up_actuator_lig,"1,19071419391048E-14","-0,00469804553975839","-0,0217519803517203",0,0,0,"0,0460708867203693","9,82751781586971E-06","-1,40289831888993E-20","-3,18960844200447E-21","1,3705115727033E-05","2,0283272374937E-07","1,48499274386226E-05",0,0,0,0,0,0,package://alice_description/meshes/r_l_bottom_up_actuator_lig.STL,1,1,1,1,0,0,0,0,0,0,package://alice_description/meshes/r_l_bottom_up_actuator_lig.STL,,actuator_lig-4,Origin_r_l_front_down_leg_bar_r_l_bottom_up_actuator_lig_joint_joint,Axis_r_l_front_down_leg_bar_r_l_bottom_up_actuator_lig_joint_joint,r_l_front_down_leg_bar_r_l_bottom_up_actuator_lig_joint_joint,continuous,"-0,0163137339794125","0,0130115698803392","-0,0245905270341765","1,41761473686935","0,00155083889688821","1,57422773244677",r_l_front_down_leg_bar,0,0,1,,,,,,,,,,,,
r_l_down_leg_actuator,"0,0356691568066865","0,0693117699756877","-0,0199148954870054",0,0,0,"0,343667408568842","0,000769199640481815","0,000110911531602112","1,01024831627393E-06","0,000144242287541049","-1,41258338216973E-06","0,000845630700254126",0,0,0,0,0,0,package://alice_description/meshes/r_l_down_leg_actuator.STL,1,1,1,1,0,0,0,0,0,0,package://alice_description/meshes/r_l_down_leg_actuator.STL,,V0-F-3,Origin_r_l_bottm_up_actuator_lig_r_l_down_leg_actuator_joint,Axis_r_l_bottm_up_actuator_lig_r_l_down_leg_actuator_joint,r_l_bottm_up_actuator_lig_r_l_down_leg_actuator_joint,fixed,"-0,0196479999999879","-0,0328769190745538","-0,0133193435898463","-1,5707963267949","1,34099031534163","1,57079632679489",r_l_bottom_up_actuator_lig,0,0,0,,,,,,,,,,,,
r_l_down_leg_haste,"1,24975640947156E-09","2,23816937205967E-10","0,0600640921293435",0,0,0,"0,295794387925069","0,000366532786752784","1,15213937705524E-11","-1,41111717753121E-11","0,000366379152197299","-1,45730934081266E-12","1,48560975923933E-05",0,0,0,0,0,0,package://alice_description/meshes/r_l_down_leg_haste.STL,"0,650980392156863","0,619607843137255","0,588235294117647",1,0,0,0,0,0,0,package://alice_description/meshes/r_l_down_leg_haste.STL,,haste-3,Origin_r_l_down_leg_actuator_r_l_down_leg_haste_joint,Axis_r_l_down_leg_actuator_r_l_down_leg_haste_joint,r_l_down_leg_actuator_r_l_down_leg_haste_joint,fixed,"0,0180339999995537","0,150868288311508","-0,0198119999999506","-1,57079632679536","1,56717141403281",0,r_l_down_leg_actuator,0,0,0,0,0,0,0,,,,,,,,
r_l_bottom_bottom_actuator_lig,"-0,000390763837010866","1,88576790238759E-07","0,0185098696811389",0,0,0,"0,0774326489373284","2,68471284810094E-05","4,83701977065416E-10","-2,17499986238815E-07","5,54855430379818E-05","-1,66661624326484E-11","5,52663513016716E-05",0,0,0,0,0,0,package://alice_description/meshes/r_l_bottom_bottom_actuator_lig.STL,1,1,1,1,0,0,0,0,0,0,package://alice_description/meshes/r_l_bottom_bottom_actuator_lig.STL,,ankle_pt2-2,Origin_r_l_down_leg_haste_r_l_bottom_bottom_actuator_lig_joint,Axis_r_l_down_leg_haste_r_l_bottom_bottom_actuator_lig_joint,r_l_down_leg_haste_r_l_bottom_bottom_actuator_lig_joint,fixed,0,"0,0155809866377853","0,15100298521115","-3,14159265358977","-0,3800596594195","-1,57079632679489",r_l_down_leg_haste,0,0,0,,,,,,,,,,,,
r_l_front_up_leg_bar,"-0,0282099564892164","-0,011271586515459","0,16687649510604",0,0,0,"0,11945134239954","0,000157369485574645","1,70716041834675E-06","2,19231194072022E-05","0,000151977733318783","-6,24122497519981E-06","3,40097467816649E-05",0,0,0,0,0,0,package://alice_description/meshes/r_l_front_up_leg_bar.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://alice_description/meshes/r_l_front_up_leg_bar.STL,,front_Leg1-1,Origin_r_leg_top_r_l_front_up_leg_bar_joint,Axis_r_leg_top_r_l_front_up_leg_bar_joint,r_leg_top_r_l_front_up_leg_bar_joint,continuous,"-0,0146849736753531","-0,0272464727075147","0,0506619491661222","-0,00173337283571361","0,370762002077386","-0,00924290506627428",r_leg_top,0,"0,999717465199625","-0,0237695135591145",,,,,,,,,,,,
r_l_up_up_actuator_lig,"1,77635683940025E-15","0,0158250303230079","-0,010633470981141",0,0,0,"0,0374531817283404","7,83313520903203E-06","4,85720455691138E-21","4,34104385467829E-21","1,26168521569069E-05","-1,6675961149069E-21","1,09040183718145E-05",0,0,0,0,0,0,package://alice_description/meshes/r_l_up_up_actuator_lig.STL,1,1,1,1,0,0,0,0,0,0,package://alice_description/meshes/r_l_up_up_actuator_lig.STL,,top_actuator_lig-2,Origin_r_l_up_up_actuator_lig_joint,Axis_r_l_up_up_actuator_lig_joint,r_l_up_up_actuator_lig_joint,continuous,"0,176731764943157","-0,1733097079108","-0,206890815280916","-0,0250281063689321","0,123646820538566","-1,54858306119873",base_link,0,1,0,,,,,,,,,,,,
r_l_up_leg_haste,"1,11889161824585E-09","2,72467992612491E-10","-0,0519359077825798",0,0,0,"0,295794389610576","0,00036653278698203","1,15369328317977E-11","-1,26318326397131E-11","0,000366379152490939","-2,86117560472868E-12","1,48560975947534E-05",0,0,0,0,0,0,package://alice_description/meshes/r_l_up_leg_haste.STL,"0,650980392156863","0,619607843137255","0,588235294117647",1,0,0,0,0,0,0,package://alice_description/meshes/r_l_up_leg_haste.STL,,haste-2,Origin_r_l_up_leg_haste_joint,Axis_r_l_up_leg_haste_joint,r_l_up_leg_haste_joint,continuous,0,"0,015825030323008","-0,0249999999999979","-0,46495582321431",0,0,r_l_up_up_actuator_lig,1,0,0,,,,,,,,,,,,
r_l_up_leg_atuador,"0,0356691569630159","0,0693117698758873","-0,0199148953511061",0,0,0,"0,343667402295775","0,000769199633185873","0,00011091153022311","1,01024795475561E-06","0,000144242285769365","-1,41258312079096E-06","0,000845630694100219",0,0,0,0,0,0,package://alice_description/meshes/r_l_up_leg_atuador.STL,1,1,1,1,0,0,0,0,0,0,package://alice_description/meshes/r_l_up_leg_atuador.STL,,V0-F-4,Origin_r_l_up_leg_atuador_joint,Axis_r_l_up_leg_atuador_joint,r_l_up_leg_atuador_joint,fixed,"0,0195914143648097","-0,0182733955023338","-0,269163765426702","1,5707963267949",0,"1,55864547333222",r_l_up_leg_haste,0,0,0,0,0,0,0,,,,,,,,
